00001 A00     0 Cholera                                                      Cholera
20375 M61379  1 Calcifcn and ossifictn of muscles assoc w burns, unsp ank/ft Calcification and ossification of muscles associated with burns, unspecified ankle and foot
20376 M6138   1 Calcifcn and ossifictn of muscles assoc w burns, oth site    Calcification and ossification of muscles associated with burns, other site
20377 M6139   1 Calcifcn and ossifictn of muscles assoc w burns, mult sites  Calcification and ossification of muscles associated with burns, multiple sites
20378 M614    0 Other calcification of muscle                                Other calcification of muscle
20379 M6140   1 Other calcification of muscle, unspecified site              Other calcification of muscle, unspecified site
20380 M6141   0 Other calcification of muscle, shoulder                      Other calcification of muscle, shoulder
20381 M61411  1 Other calcification of muscle, right shoulder                Other calcification of muscle, right shoulder
20382 M61412  1 Other calcification of muscle, left shoulder                 Other calcification of muscle, left shoulder
20383 M61419  1 Other calcification of muscle, unspecified shoulder          Other calcification of muscle, unspecified shoulder
20384 M6142   0 Other calcification of muscle, upper arm                     Other calcification of muscle, upper arm
20385 M61421  1 Other calcification of muscle, right upper arm               Other calcification of muscle, right upper arm
20386 M61422  1 Other calcification of muscle, left upper arm                Other calcification of muscle, left upper arm
20387 M61429  1 Other calcification of muscle, unspecified upper arm         Other calcification of muscle, unspecified upper arm
20388 M6143   0 Other calcification of muscle, forearm                       Other calcification of muscle, forearm
20389 M61431  1 Other calcification of muscle, right forearm                 Other calcification of muscle, right forearm
20390 M61432  1 Other calcification of muscle, left forearm                  Other calcification of muscle, left forearm
20391 M61439  1 Other calcification of muscle, unspecified forearm           Other calcification of muscle, unspecified forearm
20392 M6144   0 Other calcification of muscle, hand                          Other calcification of muscle, hand
20393 M61441  1 Other calcification of muscle, right hand                    Other calcification of muscle, right hand
20394 M61442  1 Other calcification of muscle, left hand                     Other calcification of muscle, left hand
20395 M61449  1 Other calcification of muscle, unspecified hand              Other calcification of muscle, unspecified hand
20396 M6145   0 Other calcification of muscle, thigh                         Other calcification of muscle, thigh
20397 M61451  1 Other calcification of muscle, right thigh                   Other calcification of muscle, right thigh
20398 M61452  1 Other calcification of muscle, left thigh                    Other calcification of muscle, left thigh
20399 M61459  1 Other calcification of muscle, unspecified thigh             Other calcification of muscle, unspecified thigh
20400 M6146   0 Other calcification of muscle, lower leg                     Other calcification of muscle, lower leg
20401 M61461  1 Other calcification of muscle, right lower leg               Other calcification of muscle, right lower leg
20402 M61462  1 Other calcification of muscle, left lower leg                Other calcification of muscle, left lower leg
20403 M61469  1 Other calcification of muscle, unspecified lower leg         Other calcification of muscle, unspecified lower leg
20404 M6147   0 Other calcification of muscle, ankle and foot                Other calcification of muscle, ankle and foot
20405 M61471  1 Other calcification of muscle, right ankle and foot          Other calcification of muscle, right ankle and foot
20406 M61472  1 Other calcification of muscle, left ankle and foot           Other calcification of muscle, left ankle and foot
20407 M61479  1 Other calcification of muscle, unspecified ankle and foot    Other calcification of muscle, unspecified ankle and foot
20408 M6148   1 Other calcification of muscle, other site                    Other calcification of muscle, other site
20409 M6149   1 Other calcification of muscle, multiple sites                Other calcification of muscle, multiple sites
20410 M615    0 Other ossification of muscle                                 Other ossification of muscle
20411 M6150   1 Other ossification of muscle, unspecified site               Other ossification of muscle, unspecified site
20412 M6151   0 Other ossification of muscle, shoulder                       Other ossification of muscle, shoulder
20413 M61511  1 Other ossification of muscle, right shoulder                 Other ossification of muscle, right shoulder
20414 M61512  1 Other ossification of muscle, left shoulder                  Other ossification of muscle, left shoulder
20415 M61519  1 Other ossification of muscle, unspecified shoulder           Other ossification of muscle, unspecified shoulder
20416 M6152   0 Other ossification of muscle, upper arm                      Other ossification of muscle, upper arm
20417 M61521  1 Other ossification of muscle, right upper arm                Other ossification of muscle, right upper arm
20418 M61522  1 Other ossification of muscle, left upper arm                 Other ossification of muscle, left upper arm
20419 M61529  1 Other ossification of muscle, unspecified upper arm          Other ossification of muscle, unspecified upper arm
20420 M6153   0 Other ossification of muscle, forearm                        Other ossification of muscle, forearm
20421 M61531  1 Other ossification of muscle, right forearm                  Other ossification of muscle, right forearm
20422 M61532  1 Other ossification of muscle, left forearm                   Other ossification of muscle, left forearm
20423 M61539  1 Other ossification of muscle, unspecified forearm            Other ossification of muscle, unspecified forearm
20424 M6154   0 Other ossification of muscle, hand                           Other ossification of muscle, hand
20425 M61541  1 Other ossification of muscle, right hand                     Other ossification of muscle, right hand
20426 M61542  1 Other ossification of muscle, left hand                      Other ossification of muscle, left hand
20427 M61549  1 Other ossification of muscle, unspecified hand               Other ossification of muscle, unspecified hand
20428 M6155   0 Other ossification of muscle, thigh                          Other ossification of muscle, thigh
20429 M61551  1 Other ossification of muscle, right thigh                    Other ossification of muscle, right thigh
20430 M61552  1 Other ossification of muscle, left thigh                     Other ossification of muscle, left thigh
20431 M61559  1 Other ossification of muscle, unspecified thigh              Other ossification of muscle, unspecified thigh
20432 M6156   0 Other ossification of muscle, lower leg                      Other ossification of muscle, lower leg
20433 M61561  1 Other ossification of muscle, right lower leg                Other ossification of muscle, right lower leg
20434 M61562  1 Other ossification of muscle, left lower leg                 Other ossification of muscle, left lower leg
20435 M61569  1 Other ossification of muscle, unspecified lower leg          Other ossification of muscle, unspecified lower leg
20436 M6157   0 Other ossification of muscle, ankle and foot                 Other ossification of muscle, ankle and foot
20437 M61571  1 Other ossification of muscle, right ankle and foot           Other ossification of muscle, right ankle and foot
20438 M61572  1 Other ossification of muscle, left ankle and foot            Other ossification of muscle, left ankle and foot
20439 M61579  1 Other ossification of muscle, unspecified ankle and foot     Other ossification of muscle, unspecified ankle and foot
20440 M6158   1 Other ossification of muscle, other site                     Other ossification of muscle, other site
20441 M6159   1 Other ossification of muscle, multiple sites                 Other ossification of muscle, multiple sites
20442 M619    1 Calcification and ossification of muscle, unspecified        Calcification and ossification of muscle, unspecified
20443 M62     0 Other disorders of muscle                                    Other disorders of muscle
20444 M620    0 Separation of muscle (nontraumatic)                          Separation of muscle (nontraumatic)
20445 M6200   1 Separation of muscle (nontraumatic), unspecified site        Separation of muscle (nontraumatic), unspecified site
20446 M6201   0 Separation of muscle (nontraumatic), shoulder                Separation of muscle (nontraumatic), shoulder
20447 M62011  1 Separation of muscle (nontraumatic), right shoulder          Separation of muscle (nontraumatic), right shoulder
20448 M62012  1 Separation of muscle (nontraumatic), left shoulder           Separation of muscle (nontraumatic), left shoulder
20449 M62019  1 Separation of muscle (nontraumatic), unspecified shoulder    Separation of muscle (nontraumatic), unspecified shoulder
20450 M6202   0 Separation of muscle (nontraumatic), upper arm               Separation of muscle (nontraumatic), upper arm
20451 M62021  1 Separation of muscle (nontraumatic), right upper arm         Separation of muscle (nontraumatic), right upper arm
20452 M62022  1 Separation of muscle (nontraumatic), left upper arm          Separation of muscle (nontraumatic), left upper arm
20453 M62029  1 Separation of muscle (nontraumatic), unspecified upper arm   Separation of muscle (nontraumatic), unspecified upper arm
20454 M6203   0 Separation of muscle (nontraumatic), forearm                 Separation of muscle (nontraumatic), forearm
20455 M62031  1 Separation of muscle (nontraumatic), right forearm           Separation of muscle (nontraumatic), right forearm
20456 M62032  1 Separation of muscle (nontraumatic), left forearm            Separation of muscle (nontraumatic), left forearm
20457 M62039  1 Separation of muscle (nontraumatic), unspecified forearm     Separation of muscle (nontraumatic), unspecified forearm
20458 M6204   0 Separation of muscle (nontraumatic), hand                    Separation of muscle (nontraumatic), hand
20459 M62041  1 Separation of muscle (nontraumatic), right hand              Separation of muscle (nontraumatic), right hand
20460 M62042  1 Separation of muscle (nontraumatic), left hand               Separation of muscle (nontraumatic), left hand
20461 M62049  1 Separation of muscle (nontraumatic), unspecified hand        Separation of muscle (nontraumatic), unspecified hand
20462 M6205   0 Separation of muscle (nontraumatic), thigh                   Separation of muscle (nontraumatic), thigh
20463 M62051  1 Separation of muscle (nontraumatic), right thigh             Separation of muscle (nontraumatic), right thigh
20464 M62052  1 Separation of muscle (nontraumatic), left thigh              Separation of muscle (nontraumatic), left thigh
20465 M62059  1 Separation of muscle (nontraumatic), unspecified thigh       Separation of muscle (nontraumatic), unspecified thigh
20466 M6206   0 Separation of muscle (nontraumatic), lower leg               Separation of muscle (nontraumatic), lower leg
20467 M62061  1 Separation of muscle (nontraumatic), right lower leg         Separation of muscle (nontraumatic), right lower leg
20468 M62062  1 Separation of muscle (nontraumatic), left lower leg          Separation of muscle (nontraumatic), left lower leg
20469 M62069  1 Separation of muscle (nontraumatic), unspecified lower leg   Separation of muscle (nontraumatic), unspecified lower leg
20470 M6207   0 Separation of muscle (nontraumatic), ankle and foot          Separation of muscle (nontraumatic), ankle and foot
20471 M62071  1 Separation of muscle (nontraumatic), right ankle and foot    Separation of muscle (nontraumatic), right ankle and foot
20472 M62072  1 Separation of muscle (nontraumatic), left ankle and foot     Separation of muscle (nontraumatic), left ankle and foot
20473 M62079  1 Separation of muscle (nontraumatic), unsp ankle and foot     Separation of muscle (nontraumatic), unspecified ankle and foot
20474 M6208   1 Separation of muscle (nontraumatic), other site              Separation of muscle (nontraumatic), other site
20475 M621    0 Other rupture of muscle (nontraumatic)                       Other rupture of muscle (nontraumatic)
20476 M6210   1 Other rupture of muscle (nontraumatic), unspecified site     Other rupture of muscle (nontraumatic), unspecified site
20477 M6211   0 Other rupture of muscle (nontraumatic), shoulder             Other rupture of muscle (nontraumatic), shoulder
20478 M62111  1 Other rupture of muscle (nontraumatic), right shoulder       Other rupture of muscle (nontraumatic), right shoulder
20479 M62112  1 Other rupture of muscle (nontraumatic), left shoulder        Other rupture of muscle (nontraumatic), left shoulder
20480 M62119  1 Other rupture of muscle (nontraumatic), unspecified shoulder Other rupture of muscle (nontraumatic), unspecified shoulder
20481 M6212   0 Other rupture of muscle (nontraumatic), upper arm            Other rupture of muscle (nontraumatic), upper arm
20482 M62121  1 Other rupture of muscle (nontraumatic), right upper arm      Other rupture of muscle (nontraumatic), right upper arm
20483 M62122  1 Other rupture of muscle (nontraumatic), left upper arm       Other rupture of muscle (nontraumatic), left upper arm
20484 M62129  1 Other rupture of muscle (nontraumatic), unsp upper arm       Other rupture of muscle (nontraumatic), unspecified upper arm
20485 M6213   0 Other rupture of muscle (nontraumatic), forearm              Other rupture of muscle (nontraumatic), forearm
20486 M62131  1 Other rupture of muscle (nontraumatic), right forearm        Other rupture of muscle (nontraumatic), right forearm
20487 M62132  1 Other rupture of muscle (nontraumatic), left forearm         Other rupture of muscle (nontraumatic), left forearm
20488 M62139  1 Other rupture of muscle (nontraumatic), unspecified forearm  Other rupture of muscle (nontraumatic), unspecified forearm
20489 M6214   0 Other rupture of muscle (nontraumatic), hand                 Other rupture of muscle (nontraumatic), hand
20490 M62141  1 Other rupture of muscle (nontraumatic), right hand           Other rupture of muscle (nontraumatic), right hand
20491 M62142  1 Other rupture of muscle (nontraumatic), left hand            Other rupture of muscle (nontraumatic), left hand
20492 M62149  1 Other rupture of muscle (nontraumatic), unspecified hand     Other rupture of muscle (nontraumatic), unspecified hand
20493 M6215   0 Other rupture of muscle (nontraumatic), thigh                Other rupture of muscle (nontraumatic), thigh
20494 M62151  1 Other rupture of muscle (nontraumatic), right thigh          Other rupture of muscle (nontraumatic), right thigh
20495 M62152  1 Other rupture of muscle (nontraumatic), left thigh           Other rupture of muscle (nontraumatic), left thigh
20496 M62159  1 Other rupture of muscle (nontraumatic), unspecified thigh    Other rupture of muscle (nontraumatic), unspecified thigh
20497 M6216   0 Other rupture of muscle (nontraumatic), lower leg            Other rupture of muscle (nontraumatic), lower leg
20498 M62161  1 Other rupture of muscle (nontraumatic), right lower leg      Other rupture of muscle (nontraumatic), right lower leg
20499 M62162  1 Other rupture of muscle (nontraumatic), left lower leg       Other rupture of muscle (nontraumatic), left lower leg
20500 M62169  1 Other rupture of muscle (nontraumatic), unsp lower leg       Other rupture of muscle (nontraumatic), unspecified lower leg
20501 M6217   0 Other rupture of muscle (nontraumatic), ankle and foot       Other rupture of muscle (nontraumatic), ankle and foot
20502 M62171  1 Other rupture of muscle (nontraumatic), right ankle and foot Other rupture of muscle (nontraumatic), right ankle and foot
20503 M62172  1 Other rupture of muscle (nontraumatic), left ankle and foot  Other rupture of muscle (nontraumatic), left ankle and foot
20504 M62179  1 Other rupture of muscle (nontraumatic), unsp ankle and foot  Other rupture of muscle (nontraumatic), unspecified ankle and foot
20505 M6218   1 Other rupture of muscle (nontraumatic), other site           Other rupture of muscle (nontraumatic), other site
20506 M622    0 Nontraumatic ischemic infarction of muscle                   Nontraumatic ischemic infarction of muscle
20507 M6220   1 Nontraumatic ischemic infarction of muscle, unspecified site Nontraumatic ischemic infarction of muscle, unspecified site
20508 M6221   0 Nontraumatic ischemic infarction of muscle, shoulder         Nontraumatic ischemic infarction of muscle, shoulder
20509 M62211  1 Nontraumatic ischemic infarction of muscle, right shoulder   Nontraumatic ischemic infarction of muscle, right shoulder
20510 M62212  1 Nontraumatic ischemic infarction of muscle, left shoulder    Nontraumatic ischemic infarction of muscle, left shoulder
20511 M62219  1 Nontraumatic ischemic infarction of muscle, unsp shoulder    Nontraumatic ischemic infarction of muscle, unspecified shoulder
20512 M6222   0 Nontraumatic ischemic infarction of muscle, upper arm        Nontraumatic ischemic infarction of muscle, upper arm
20513 M62221  1 Nontraumatic ischemic infarction of muscle, right upper arm  Nontraumatic ischemic infarction of muscle, right upper arm
20514 M62222  1 Nontraumatic ischemic infarction of muscle, left upper arm   Nontraumatic ischemic infarction of muscle, left upper arm
20515 M62229  1 Nontraumatic ischemic infarction of muscle, unsp upper arm   Nontraumatic ischemic infarction of muscle, unspecified upper arm
20516 M6223   0 Nontraumatic ischemic infarction of muscle, forearm          Nontraumatic ischemic infarction of muscle, forearm
20517 M62231  1 Nontraumatic ischemic infarction of muscle, right forearm    Nontraumatic ischemic infarction of muscle, right forearm
20518 M62232  1 Nontraumatic ischemic infarction of muscle, left forearm     Nontraumatic ischemic infarction of muscle, left forearm
20519 M62239  1 Nontraumatic ischemic infarction of muscle, unsp forearm     Nontraumatic ischemic infarction of muscle, unspecified forearm
20520 M6224   0 Nontraumatic ischemic infarction of muscle, hand             Nontraumatic ischemic infarction of muscle, hand
20521 M62241  1 Nontraumatic ischemic infarction of muscle, right hand       Nontraumatic ischemic infarction of muscle, right hand
20522 M62242  1 Nontraumatic ischemic infarction of muscle, left hand        Nontraumatic ischemic infarction of muscle, left hand
20523 M62249  1 Nontraumatic ischemic infarction of muscle, unspecified hand Nontraumatic ischemic infarction of muscle, unspecified hand
20524 M6225   0 Nontraumatic ischemic infarction of muscle, thigh            Nontraumatic ischemic infarction of muscle, thigh
20525 M62251  1 Nontraumatic ischemic infarction of muscle, right thigh      Nontraumatic ischemic infarction of muscle, right thigh
20526 M62252  1 Nontraumatic ischemic infarction of muscle, left thigh       Nontraumatic ischemic infarction of muscle, left thigh
20527 M62259  1 Nontraumatic ischemic infarction of muscle, unsp thigh       Nontraumatic ischemic infarction of muscle, unspecified thigh
20528 M6226   0 Nontraumatic ischemic infarction of muscle, lower leg        Nontraumatic ischemic infarction of muscle, lower leg
20529 M62261  1 Nontraumatic ischemic infarction of muscle, right lower leg  Nontraumatic ischemic infarction of muscle, right lower leg
20530 M62262  1 Nontraumatic ischemic infarction of muscle, left lower leg   Nontraumatic ischemic infarction of muscle, left lower leg
20531 M62269  1 Nontraumatic ischemic infarction of muscle, unsp lower leg   Nontraumatic ischemic infarction of muscle, unspecified lower leg
20532 M6227   0 Nontraumatic ischemic infarction of muscle, ankle and foot   Nontraumatic ischemic infarction of muscle, ankle and foot
20533 M62271  1 Nontraumatic ischemic infarction of muscle, right ank/ft     Nontraumatic ischemic infarction of muscle, right ankle and foot
20534 M62272  1 Nontraumatic ischemic infarction of muscle, left ank/ft      Nontraumatic ischemic infarction of muscle, left ankle and foot
20535 M62279  1 Nontraumatic ischemic infarction of muscle, unsp ank/ft      Nontraumatic ischemic infarction of muscle, unspecified ankle and foot
20536 M6228   1 Nontraumatic ischemic infarction of muscle, other site       Nontraumatic ischemic infarction of muscle, other site
20537 M623    1 Immobility syndrome (paraplegic)                             Immobility syndrome (paraplegic)
20538 M624    0 Contracture of muscle                                        Contracture of muscle
20539 M6240   1 Contracture of muscle, unspecified site                      Contracture of muscle, unspecified site
20540 M6241   0 Contracture of muscle, shoulder                              Contracture of muscle, shoulder
20541 M62411  1 Contracture of muscle, right shoulder                        Contracture of muscle, right shoulder
20542 M62412  1 Contracture of muscle, left shoulder                         Contracture of muscle, left shoulder
20543 M62419  1 Contracture of muscle, unspecified shoulder                  Contracture of muscle, unspecified shoulder
20544 M6242   0 Contracture of muscle, upper arm                             Contracture of muscle, upper arm
20545 M62421  1 Contracture of muscle, right upper arm                       Contracture of muscle, right upper arm
20546 M62422  1 Contracture of muscle, left upper arm                        Contracture of muscle, left upper arm
20547 M62429  1 Contracture of muscle, unspecified upper arm                 Contracture of muscle, unspecified upper arm
20548 M6243   0 Contracture of muscle, forearm                               Contracture of muscle, forearm
20549 M62431  1 Contracture of muscle, right forearm                         Contracture of muscle, right forearm
20550 M62432  1 Contracture of muscle, left forearm                          Contracture of muscle, left forearm
20551 M62439  1 Contracture of muscle, unspecified forearm                   Contracture of muscle, unspecified forearm
20552 M6244   0 Contracture of muscle, hand                                  Contracture of muscle, hand
20553 M62441  1 Contracture of muscle, right hand                            Contracture of muscle, right hand
20554 M62442  1 Contracture of muscle, left hand                             Contracture of muscle, left hand
20555 M62449  1 Contracture of muscle, unspecified hand                      Contracture of muscle, unspecified hand
20556 M6245   0 Contracture of muscle, thigh                                 Contracture of muscle, thigh
20557 M62451  1 Contracture of muscle, right thigh                           Contracture of muscle, right thigh
20558 M62452  1 Contracture of muscle, left thigh                            Contracture of muscle, left thigh
20559 M62459  1 Contracture of muscle, unspecified thigh                     Contracture of muscle, unspecified thigh
20560 M6246   0 Contracture of muscle, lower leg                             Contracture of muscle, lower leg
20561 M62461  1 Contracture of muscle, right lower leg                       Contracture of muscle, right lower leg
20562 M62462  1 Contracture of muscle, left lower leg                        Contracture of muscle, left lower leg
20563 M62469  1 Contracture of muscle, unspecified lower leg                 Contracture of muscle, unspecified lower leg
20564 M6247   0 Contracture of muscle, ankle and foot                        Contracture of muscle, ankle and foot
20565 M62471  1 Contracture of muscle, right ankle and foot                  Contracture of muscle, right ankle and foot
20566 M62472  1 Contracture of muscle, left ankle and foot                   Contracture of muscle, left ankle and foot
20567 M62479  1 Contracture of muscle, unspecified ankle and foot            Contracture of muscle, unspecified ankle and foot
20568 M6248   1 Contracture of muscle, other site                            Contracture of muscle, other site
20569 M6249   1 Contracture of muscle, multiple sites                        Contracture of muscle, multiple sites
20570 M625    0 Muscle wasting and atrophy, not elsewhere classified         Muscle wasting and atrophy, not elsewhere classified
20571 M6250   1 Muscle wasting and atrophy, NEC, unsp site                   Muscle wasting and atrophy, not elsewhere classified, unspecified site
20572 M6251   0 Muscle wasting and atrophy, NEC, shoulder                    Muscle wasting and atrophy, not elsewhere classified, shoulder
20573 M62511  1 Muscle wasting and atrophy, NEC, right shoulder              Muscle wasting and atrophy, not elsewhere classified, right shoulder
20574 M62512  1 Muscle wasting and atrophy, NEC, left shoulder               Muscle wasting and atrophy, not elsewhere classified, left shoulder
20575 M62519  1 Muscle wasting and atrophy, NEC, unsp shoulder               Muscle wasting and atrophy, not elsewhere classified, unspecified shoulder
20576 M6252   0 Muscle wasting and atrophy, NEC, upper arm                   Muscle wasting and atrophy, not elsewhere classified, upper arm
20577 M62521  1 Muscle wasting and atrophy, NEC, right upper arm             Muscle wasting and atrophy, not elsewhere classified, right upper arm
20578 M62522  1 Muscle wasting and atrophy, NEC, left upper arm              Muscle wasting and atrophy, not elsewhere classified, left upper arm
20579 M62529  1 Muscle wasting and atrophy, NEC, unsp upper arm              Muscle wasting and atrophy, not elsewhere classified, unspecified upper arm
20580 M6253   0 Muscle wasting and atrophy, NEC, forearm                     Muscle wasting and atrophy, not elsewhere classified, forearm
20581 M62531  1 Muscle wasting and atrophy, NEC, right forearm               Muscle wasting and atrophy, not elsewhere classified, right forearm
20582 M62532  1 Muscle wasting and atrophy, NEC, left forearm                Muscle wasting and atrophy, not elsewhere classified, left forearm
20583 M62539  1 Muscle wasting and atrophy, NEC, unsp forearm                Muscle wasting and atrophy, not elsewhere classified, unspecified forearm
20584 M6254   0 Muscle wasting and atrophy, not elsewhere classified, hand   Muscle wasting and atrophy, not elsewhere classified, hand
20585 M62541  1 Muscle wasting and atrophy, NEC, right hand                  Muscle wasting and atrophy, not elsewhere classified, right hand
20586 M62542  1 Muscle wasting and atrophy, NEC, left hand                   Muscle wasting and atrophy, not elsewhere classified, left hand
20587 M62549  1 Muscle wasting and atrophy, NEC, unsp hand                   Muscle wasting and atrophy, not elsewhere classified, unspecified hand
20588 M6255   0 Muscle wasting and atrophy, not elsewhere classified, thigh  Muscle wasting and atrophy, not elsewhere classified, thigh
20589 M62551  1 Muscle wasting and atrophy, NEC, right thigh                 Muscle wasting and atrophy, not elsewhere classified, right thigh
20590 M62552  1 Muscle wasting and atrophy, NEC, left thigh                  Muscle wasting and atrophy, not elsewhere classified, left thigh
20591 M62559  1 Muscle wasting and atrophy, NEC, unsp thigh                  Muscle wasting and atrophy, not elsewhere classified, unspecified thigh
20592 M6256   0 Muscle wasting and atrophy, NEC, lower leg                   Muscle wasting and atrophy, not elsewhere classified, lower leg
20593 M62561  1 Muscle wasting and atrophy, NEC, right lower leg             Muscle wasting and atrophy, not elsewhere classified, right lower leg
20594 M62562  1 Muscle wasting and atrophy, NEC, left lower leg              Muscle wasting and atrophy, not elsewhere classified, left lower leg
20595 M62569  1 Muscle wasting and atrophy, NEC, unsp lower leg              Muscle wasting and atrophy, not elsewhere classified, unspecified lower leg
20596 M6257   0 Muscle wasting and atrophy, NEC, ankle and foot              Muscle wasting and atrophy, not elsewhere classified, ankle and foot
20597 M62571  1 Muscle wasting and atrophy, NEC, right ankle and foot        Muscle wasting and atrophy, not elsewhere classified, right ankle and foot
20598 M62572  1 Muscle wasting and atrophy, NEC, left ankle and foot         Muscle wasting and atrophy, not elsewhere classified, left ankle and foot
20599 M62579  1 Muscle wasting and atrophy, NEC, unsp ankle and foot         Muscle wasting and atrophy, not elsewhere classified, unspecified ankle and foot
20600 M6258   1 Muscle wasting and atrophy, NEC, oth site                    Muscle wasting and atrophy, not elsewhere classified, other site
20601 M6259   1 Muscle wasting and atrophy, NEC, multiple sites              Muscle wasting and atrophy, not elsewhere classified, multiple sites
20602 M625A   0 Muscle wasting and atrophy, not elsewhere classified, back   Muscle wasting and atrophy, not elsewhere classified, back
20603 M625A0  1 Muscle wasting and atrophy, NEC, back, cervical              Muscle wasting and atrophy, not elsewhere classified, back, cervical
20604 M625A1  1 Muscle wasting and atrophy, NEC, back, thoracic              Muscle wasting and atrophy, not elsewhere classified, back, thoracic
20605 M625A2  1 Muscle wasting and atrophy, NEC, back, lumbosacral           Muscle wasting and atrophy, not elsewhere classified, back, lumbosacral
20606 M625A9  1 Muscle wasting and atrophy, NEC, back, unspecified level     Muscle wasting and atrophy, not elsewhere classified, back, unspecified level
20607 M628    0 Other specified disorders of muscle                          Other specified disorders of muscle
20608 M6281   1 Muscle weakness (generalized)                                Muscle weakness (generalized)
20609 M6282   1 Rhabdomyolysis                                               Rhabdomyolysis
20610 M6283   0 Muscle spasm                                                 Muscle spasm
20611 M62830  1 Muscle spasm of back                                         Muscle spasm of back
20612 M62831  1 Muscle spasm of calf                                         Muscle spasm of calf
20613 M62838  1 Other muscle spasm                                           Other muscle spasm
20614 M6284   1 Sarcopenia                                                   Sarcopenia
20615 M6285   1 Dysfunction of the multifidus muscles, lumbar region         Dysfunction of the multifidus muscles, lumbar region
20616 M6289   1 Other specified disorders of muscle                          Other specified disorders of muscle
20617 M629    1 Disorder of muscle, unspecified                              Disorder of muscle, unspecified
20618 M63     0 Disorders of muscle in diseases classified elsewhere         Disorders of muscle in diseases classified elsewhere
20619 M638    0 Disorders of muscle in diseases classified elsewhere         Disorders of muscle in diseases classified elsewhere
20620 M6380   1 Disorders of muscle in diseases classd elswhr, unsp site     Disorders of muscle in diseases classified elsewhere, unspecified site
20621 M6381   0 Disorders of muscle in diseases classd elswhr, shoulder      Disorders of muscle in diseases classified elsewhere, shoulder
20622 M63811  1 Disorders of muscle in diseases classd elswhr, r shoulder    Disorders of muscle in diseases classified elsewhere, right shoulder
20623 M63812  1 Disorders of muscle in diseases classd elswhr, left shoulder Disorders of muscle in diseases classified elsewhere, left shoulder
20624 M63819  1 Disorders of muscle in diseases classd elswhr, unsp shoulder Disorders of muscle in diseases classified elsewhere, unspecified shoulder
20625 M6382   0 Disorders of muscle in diseases classd elswhr, upper arm     Disorders of muscle in diseases classified elsewhere, upper arm
20626 M63821  1 Disorders of muscle in diseases classd elswhr, r up arm      Disorders of muscle in diseases classified elsewhere, right upper arm
20627 M63822  1 Disorders of muscle in diseases classd elswhr, l up arm      Disorders of muscle in diseases classified elsewhere, left upper arm
20628 M63829  1 Disord of muscle in diseases classd elswhr, unsp upper arm   Disorders of muscle in diseases classified elsewhere, unspecified upper arm
20629 M6383   0 Disorders of muscle in diseases classd elswhr, forearm       Disorders of muscle in diseases classified elsewhere, forearm
20630 M63831  1 Disorders of muscle in diseases classd elswhr, right forearm Disorders of muscle in diseases classified elsewhere, right forearm
20631 M63832  1 Disorders of muscle in diseases classd elswhr, left forearm  Disorders of muscle in diseases classified elsewhere, left forearm
20632 M63839  1 Disorders of muscle in diseases classd elswhr, unsp forearm  Disorders of muscle in diseases classified elsewhere, unspecified forearm
20633 M6384   0 Disorders of muscle in diseases classified elsewhere, hand   Disorders of muscle in diseases classified elsewhere, hand
20634 M63841  1 Disorders of muscle in diseases classd elswhr, right hand    Disorders of muscle in diseases classified elsewhere, right hand
20635 M63842  1 Disorders of muscle in diseases classd elswhr, left hand     Disorders of muscle in diseases classified elsewhere, left hand
20636 M63849  1 Disorders of muscle in diseases classd elswhr, unsp hand     Disorders of muscle in diseases classified elsewhere, unspecified hand
20637 M6385   0 Disorders of muscle in diseases classified elsewhere, thigh  Disorders of muscle in diseases classified elsewhere, thigh
20638 M63851  1 Disorders of muscle in diseases classd elswhr, right thigh   Disorders of muscle in diseases classified elsewhere, right thigh
20639 M63852  1 Disorders of muscle in diseases classd elswhr, left thigh    Disorders of muscle in diseases classified elsewhere, left thigh
20640 M63859  1 Disorders of muscle in diseases classd elswhr, unsp thigh    Disorders of muscle in diseases classified elsewhere, unspecified thigh
20641 M6386   0 Disorders of muscle in diseases classd elswhr, lower leg     Disorders of muscle in diseases classified elsewhere, lower leg
20642 M63861  1 Disorders of muscle in diseases classd elswhr, r low leg     Disorders of muscle in diseases classified elsewhere, right lower leg
20643 M63862  1 Disorders of muscle in diseases classd elswhr, l low leg     Disorders of muscle in diseases classified elsewhere, left lower leg
20644 M63869  1 Disord of muscle in diseases classd elswhr, unsp lower leg   Disorders of muscle in diseases classified elsewhere, unspecified lower leg
20645 M6387   0 Disorders of muscle in diseases classd elswhr, ank/ft        Disorders of muscle in diseases classified elsewhere, ankle and foot
20646 M63871  1 Disorders of muscle in diseases classd elswhr, right ank/ft  Disorders of muscle in diseases classified elsewhere, right ankle and foot
20647 M63872  1 Disorders of muscle in diseases classd elswhr, left ank/ft   Disorders of muscle in diseases classified elsewhere, left ankle and foot
20648 M63879  1 Disorders of muscle in diseases classd elswhr, unsp ank/ft   Disorders of muscle in diseases classified elsewhere, unspecified ankle and foot
20649 M6388   1 Disorders of muscle in diseases classd elswhr, oth site      Disorders of muscle in diseases classified elsewhere, other site
20650 M6389   1 Disord of muscle in diseases classd elswhr, multiple sites   Disorders of muscle in diseases classified elsewhere, multiple sites
20651 M65     0 Synovitis and tenosynovitis                                  Synovitis and tenosynovitis
20652 M650    0 Abscess of tendon sheath                                     Abscess of tendon sheath
